"Name","Path","State","Execute","Arg","WorkDir","Trigger"
"TDNET_Backfill_Segments_V4","\","Ready","cmd.exe","/c C:\Users\takuy\OneDrive\tdnet-excel-input\run_backfill_segments_v4_recent.bat","C:\Users\takuy\OneDrive\tdnet-excel-input","MSFT_TaskDailyTrigger:2026-04-26T18:10:00+09:00"
"TDNET_MainPipeline","\","Disabled","cmd.exe","/c C:\Users\takuy\.gemini\antigravity\tdnet-pipeline\run_pipeline.bat --nopause","","MSFT_TaskWeeklyTrigger:2026-03-18T15:30:00"
"TDNET_Nightly","\","Ready","C:\Users\takuy\OneDrive\tdnet-excel-input\run_nightly.bat","","","MSFT_TaskDailyTrigger:2026-03-24T19:00:00"
"TDNET_Realtime","\","Ready","C:\Users\takuy\OneDrive\tdnet-excel-input\run_realtime.bat","","","MSFT_TaskWeeklyTrigger:2026-03-24T08:30:00"
"TDNET_Reconcile","\","Ready","C:\Users\takuy\OneDrive\tdnet-excel-input\run_reconcile_scheduled.bat","","","MSFT_TaskDailyTrigger:2026-03-24T18:35:00"
"TDNET_Update_All","\","Disabled","C:\Windows\System32\cmd.exe","/c ""C:\Users\takuy\OneDrive\デスクトップ\tdnet-excel-input\run_update_all.bat"" --nopause","C:\Users\takuy\OneDrive\デスクトップ\tdnet-excel-input","MSFT_TaskWeeklyTrigger:2026-03-03T08:30:00"
"TDNET_Update_PM","\","Disabled","C:\Windows\System32\cmd.exe","/c ""C:\Users\takuy\OneDrive\デスクトップ\tdnet-excel-input\run_update_all.bat"" --nopause","C:\Users\takuy\OneDrive\デスクトップ\tdnet-excel-input","MSFT_TaskWeeklyTrigger:2026-03-03T15:30:00"
"ZoomUpdateTaskUser-S-1-5-21-2420480317-912072061-2085329558-1001","\","Ready","""C:\Users\takuy\AppData\Roaming\Zoom\bin\Zoom.exe""","--action=UpdateSchedule","","MSFT_TaskDailyTrigger:2026-04-04T13:10:55"
"IMESharePointDictionary","\Microsoft\Office\","Ready","""c:\Program Files\Common Files\Microsoft Shared\IME16\IMESharePointDictionary.exe""","-updateall","",":"
"Office Actions Server","\Microsoft\Office\","Ready","C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\ActionsServer\ActionsServer.exe","availabilitycheck","","MSFT_TaskLogonTrigger:;MSFT_TaskTimeTrigger:2025-01-01T00:00:00"
"Office Automatic Updates 2.0","\Microsoft\Office\","Ready","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe","/frequentupdate SCHEDULEDTASK displaylevel=False","","MSFT_TaskWeeklyTrigger:2010-12-16T03:00:00;MSFT_TaskLogonTrigger:;MSFT_TaskIdleTrigger:"
"Office Background Push Maintenance","\Microsoft\Office\","Ready","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonx64\Microsoft Shared\Office16\opushutil.exe","/pushregistration","","MSFT_TaskDailyTrigger:2010-01-01T16:40:36;MSFT_TaskLogonTrigger:2010-01-01T00:00:00"
"Office ClickToRun Service Monitor","\Microsoft\Office\","Ready","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe","/WatchService","","MSFT_TaskDailyTrigger:2010-12-16T04:00:00"
"Office Feature Updates","\Microsoft\Office\","Ready","C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe","","","MSFT_TaskDailyTrigger:2017-01-01T02:10:00;MSFT_TaskDailyTrigger:2017-01-01T06:10:00;MSFT_TaskDailyTrigger:2017-01-01T10:10:00;MSFT_TaskDailyTrigger:2017-01-01T14:10:00;MSFT_TaskDailyTrigger:2017-01-01T18:10:00;MSFT_TaskDailyTrigger:2017-01-01T22:10:00"
"Office Feature Updates Logon","\Microsoft\Office\","Ready","C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe","/onlogon","","MSFT_TaskLogonTrigger:;MSFT_TaskSessionStateChangeTrigger:"
"Office Performance Monitor","\Microsoft\Office\","Ready","C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\operfmon.exe","","","MSFT_TaskEventTrigger:"
"Office Startup Maintenance","\Microsoft\Office\","Ready","C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\ActionsServer\ActionsServer.exe","wacheck","","MSFT_TaskLogonTrigger:;MSFT_TaskDailyTrigger:2025-10-23T08:00:00"
".NET Framework NGEN v4.0.30319","\Microsoft\Windows\.NET Framework\","Ready","","","",":"
".NET Framework NGEN v4.0.30319 64","\Microsoft\Windows\.NET Framework\","Ready","","","",":"
".NET Framework NGEN v4.0.30319 64 Critical","\Microsoft\Windows\.NET Framework\","Disabled","","","","MSFT_TaskIdleTrigger:"
".NET Framework NGEN v4.0.30319 Critical","\Microsoft\Windows\.NET Framework\","Disabled","","","","MSFT_TaskIdleTrigger:"
"RecoverabilityToastTask","\Microsoft\Windows\AccountHealth\","Ready","","","","MSFT_TaskSessionStateChangeTrigger:"
"AD RMS Rights Policy Template Management (Automated)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Disabled","","","","MSFT_TaskDailyTrigger:2006-11-09T03:00:00;MSFT_TaskLogonTrigger:"
"AD RMS Rights Policy Template Management (Manual)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Ready","","","","MSFT_TaskLogonTrigger:"
"PolicyConverter","\Microsoft\Windows\AppID\","Disabled","%windir%\system32\appidpolicyconverter.exe","","",":"
"VerifiedPublisherCertStoreCheck","\Microsoft\Windows\AppID\","Disabled","%windir%\system32\appidcertstorecheck.exe","","","MSFT_TaskBootTrigger:"
"MareBackup","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\compattelrunner.exe;%windir%\system32\compattelrunner.exe;%windir%\system32\compattelrunner.exe","-m:aeinv.dll -f:UpdateSoftwareInventoryW invsvc;-m:appraiser.dll -f:DoScheduledTelemetryRun;-m:aemarebackup.dll -f:BackupMareData",";;",":"
"Microsoft Compatibility Appraiser Exp","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\compattelrunner.exe","-m:appraiser.dll -f:DoScheduledTelemetryRun express","","MSFT_TaskTrigger:"
"PcaPatchDbTask","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\rundll32.exe","%windir%\system32\PcaSvc.dll,PcaPatchSdbTask","","MSFT_TaskTimeTrigger:2008-09-01T03:00:00"
"SdbinstMergeDbTask","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\sdbinst.exe","-mm","","MSFT_TaskTrigger:;MSFT_TaskTrigger:"
"StartupAppTask","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\rundll32.exe","Startupscan.dll,SusRunTask","",":"
"appuriverifierdaily","\Microsoft\Windows\ApplicationData\","Ready","%windir%\system32\AppHostRegistrationVerifier.exe","","",":"
"appuriverifierinstall","\Microsoft\Windows\ApplicationData\","Ready","%windir%\system32\AppHostRegistrationVerifier.exe","","","MSFT_TaskTrigger:"
"CleanupTemporaryState","\Microsoft\Windows\ApplicationData\","Ready","%windir%\system32\rundll32.exe","Windows.Storage.ApplicationData.dll,CleanupTemporaryState","",":"
"DsSvcCleanup","\Microsoft\Windows\ApplicationData\","Ready","%windir%\system32\dstokenclean.exe","","",":"
"Backup","\Microsoft\Windows\AppListBackup\","Ready","","","",":"
"BackupNonMaintenance","\Microsoft\Windows\AppListBackup\","Ready","","","","MSFT_TaskDailyTrigger:2022-01-01T00:00:00"
"Pre-staged app cleanup","\Microsoft\Windows\AppxDeploymentClient\","Disabled","%windir%\system32\rundll32.exe","%windir%\system32\AppxDeploymentClient.dll,AppxPreStageCleanupRunTask","","MSFT_TaskLogonTrigger:"
"Proxy","\Microsoft\Windows\Autochk\","Ready","%windir%\system32\rundll32.exe","/d acproxy.dll,PerformAutochkOperations","","MSFT_TaskBootTrigger:"
"BitLocker Encrypt All Drives","\Microsoft\Windows\BitLocker\","Ready","","","","MSFT_TaskTrigger:"
"BitLocker MDM policy Refresh","\Microsoft\Windows\BitLocker\","Ready","","","","MSFT_TaskTrigger:"
"UninstallDeviceTask","\Microsoft\Windows\Bluetooth\","Ready","BthUdTask.exe","$(Arg0)","",":"
"BgTaskRegistrationMaintenanceTask","\Microsoft\Windows\BrokerInfrastructure\","Ready","","","",":"
"maintenancetasks","\Microsoft\Windows\capabilityaccessmanager\","Ready","%windir%\system32\rundll32.exe","%windir%\system32\CapabilityAccessManager.dll,CapabilityAccessManagerDoStoreMaintenance","",":"
"UserTask","\Microsoft\Windows\CertificateServicesClient\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskRegistrationTrigger:;MSFT_TaskLogonTrigger:;MSFT_TaskEventTrigger:"
"UserTask-Roam","\Microsoft\Windows\CertificateServicesClient\","Ready","","","","MSFT_TaskSessionStateChangeTrigger:;MSFT_TaskSessionStateChangeTrigger:"
"ProactiveScan","\Microsoft\Windows\Chkdsk\","Ready","","","",":"
"SyspartRepair","\Microsoft\Windows\Chkdsk\","Ready","%windir%\system32\bcdboot.exe","%windir% /sysrepair","","MSFT_TaskTrigger:"
"CreateObjectTask","\Microsoft\Windows\CloudExperienceHost\","Ready","","","",":"
"Backup","\Microsoft\Windows\CloudRestore\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskDailyTrigger:2023-07-01T12:00:00"
"Restore","\Microsoft\Windows\CloudRestore\","Ready","","","","MSFT_TaskTrigger:"
"UnifiedConsentSyncTask","\Microsoft\Windows\ConsentUX\UnifiedConsent\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskTimeTrigger:2024-09-01T12:00:00"
"Consolidator","\Microsoft\Windows\Customer Experience Improvement Program\","Ready","%SystemRoot%\System32\wsqmcons.exe","","","MSFT_TaskTimeTrigger:2004-01-02T00:00:00"
"UsbCeip","\Microsoft\Windows\Customer Experience Improvement Program\","Ready","","","",":"
"Data Integrity Check And Scan","\Microsoft\Windows\Data Integrity Scan\","Ready","","","","MSFT_TaskDailyTrigger:2011-01-01T23:00:00;MSFT_TaskBootTrigger:"
"Data Integrity Scan","\Microsoft\Windows\Data Integrity Scan\","Ready","","","",":"
"Data Integrity Scan for Crash Recovery","\Microsoft\Windows\Data Integrity Scan\","Ready","","","","MSFT_TaskTrigger:"
"ScheduledDefrag","\Microsoft\Windows\Defrag\","Ready","%windir%\system32\defrag.exe","-c -h -o -$","",":"
"Device","\Microsoft\Windows\Device Information\","Ready","%windir%\system32\devicecensus.exe","SystemCxt","","MSFT_TaskTimeTrigger:2008-09-01T03:00:00;MSFT_TaskTrigger:"
"Device User","\Microsoft\Windows\Device Information\","Ready","%windir%\system32\devicecensus.exe","UserCxt","","MSFT_TaskLogonTrigger:"
"Driver Recovery on Reboot","\Microsoft\Windows\Device Setup\","Disabled","","","","MSFT_TaskBootTrigger:"
"RecommendedTroubleshootingScanner","\Microsoft\Windows\Diagnosis\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskTrigger:;MSFT_TaskTrigger:;MSFT_TaskBootTrigger:"
"Scheduled","\Microsoft\Windows\Diagnosis\","Ready","","","",":"
"UnexpectedCodepath","\Microsoft\Windows\Diagnosis\","Ready","%windir%\system32\UCConfigTask.exe","","","MSFT_TaskTrigger:"
"DirectXDatabaseUpdater","\Microsoft\Windows\DirectX\","Ready","%windir%\system32\directxdatabaseupdater.exe","","","MSFT_TaskLogonTrigger:;MSFT_TaskTrigger:"
"DXGIAdapterCache","\Microsoft\Windows\DirectX\","Ready","%windir%\system32\dxgiadaptercache.exe","","","MSFT_TaskBootTrigger:;MSFT_TaskTrigger:;MSFT_TaskTrigger:"
"SilentCleanup","\Microsoft\Windows\DiskCleanup\","Ready","%windir%\system32\cleanmgr.exe","/autocleanstoragesense /d %systemdrive%","",":"
"Microsoft-Windows-DiskDiagnosticDataCollector","\Microsoft\Windows\DiskDiagnostic\","Disabled","%windir%\system32\rundll32.exe","dfdts.dll,DfdGetDefaultPolicyAndSMART","",":"
"Microsoft-Windows-DiskDiagnosticResolver","\Microsoft\Windows\DiskDiagnostic\","Disabled","%windir%\system32\DFDWiz.exe","","","MSFT_TaskLogonTrigger:"
"Diagnostics","\Microsoft\Windows\DiskFootprint\","Ready","%windir%\system32\disksnapshot.exe","-z","",":"
"StorageSense","\Microsoft\Windows\DiskFootprint\","Ready","","","",":"
"dusmtask","\Microsoft\Windows\DUSM\","Ready","%SystemRoot%\System32\dusmtask.exe","","","MSFT_TaskTrigger:"
"EDP App Launch Task","\Microsoft\Windows\EDP\","Ready","","","","MSFT_TaskTrigger:"
"EDP Auth Task","\Microsoft\Windows\EDP\","Ready","","","","MSFT_TaskTrigger:"
"EDP Inaccessible Credentials Task","\Microsoft\Windows\EDP\","Ready","","","","MSFT_TaskTrigger:"
"StorageCardEncryption Task","\Microsoft\Windows\EDP\","Ready","","","","MSFT_TaskTrigger:"
"ExploitGuard MDM policy Refresh","\Microsoft\Windows\ExploitGuard\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskTrigger:;MSFT_TaskBootTrigger:"
"DmClient","\Microsoft\Windows\Feedback\Siuf\","Ready","%windir%\system32\dmclient.exe","","",":"
"DmClientOnScenarioDownload","\Microsoft\Windows\Feedback\Siuf\","Ready","%windir%\system32\dmclient.exe","utcwnf","","MSFT_TaskTrigger:"
"File History (maintenance mode)","\Microsoft\Windows\FileHistory\","Ready","","","",":"
"BootstrapUsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\","Disabled","","","","MSFT_TaskTimeTrigger:2024-04-05T09:06:51+09:00"
"GovernedFeatureUsageProcessing","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","","","","MSFT_TaskTrigger:"
"ReconcileConfigs","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","","","","MSFT_TaskTrigger:"
"ReconcileFeatures","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskTrigger:;MSFT_TaskTrigger:;MSFT_TaskTrigger:;MSFT_TaskTrigger:;MSFT_TaskTrigger:"
"UsageDataFlushing","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskTrigger:;MSFT_TaskTrigger:"
"UsageDataReceiver","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","","","","MSFT_TaskTrigger:"
"UsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","","","","MSFT_TaskTrigger:"
"RefreshCache","\Microsoft\Windows\Flighting\OneSettings\","Ready","","","","MSFT_TaskTimeTrigger:2026-05-01T23:53:21+09:00;MSFT_TaskTrigger:;MSFT_TaskTrigger:"
"Monitoring","\Microsoft\Windows\Hotpatch\","Ready","%systemroot%\system32\cmd.exe","/d /c %systemroot%\system32\hpatchmonTask.cmd","","MSFT_TaskBootTrigger:;MSFT_TaskLogonTrigger:;MSFT_TaskTimeTrigger:2000-01-01T03:00:00"
"InputSettingsRestoreDataAvailable","\Microsoft\Windows\input\","Ready","","","","MSFT_TaskTrigger:"
"LocalUserSyncDataAvailable","\Microsoft\Windows\input\","Ready","","","","MSFT_TaskTrigger:"
"MouseSyncDataAvailable","\Microsoft\Windows\input\","Ready","","","","MSFT_TaskTrigger:"
"PenSyncDataAvailable","\Microsoft\Windows\input\","Ready","","","","MSFT_TaskTrigger:"
"RemoteMouseSyncDataAvailable","\Microsoft\Windows\input\","Ready","","","","MSFT_TaskTrigger:"
"RemotePenSyncDataAvailable","\Microsoft\Windows\input\","Ready","","","","MSFT_TaskTrigger:"
"RemoteTouchpadSyncDataAvailable","\Microsoft\Windows\input\","Ready","","","","MSFT_TaskTrigger:"
"syncpensettings","\Microsoft\Windows\input\","Ready","","","","MSFT_TaskTrigger:"
"TouchpadSyncDataAvailable","\Microsoft\Windows\input\","Ready","","","","MSFT_TaskTrigger:"
"RestoreDevice","\Microsoft\Windows\InstallService\","Ready","","","","MSFT_TaskTrigger:"
"ScanForUpdates","\Microsoft\Windows\InstallService\","Ready","","","","MSFT_TaskTimeTrigger:2014-01-01T09:00:00+09:00;MSFT_TaskTrigger:;MSFT_TaskTimeTrigger:2014-01-01T09:00:00+09:00"
"ScanForUpdatesAsUser","\Microsoft\Windows\InstallService\","Ready","","","",":"
"WakeUpAndContinueUpdates","\Microsoft\Windows\InstallService\","Disabled","","","",":"
"WakeUpAndScanForUpdates","\Microsoft\Windows\InstallService\","Disabled","","","","MSFT_TaskTimeTrigger:2014-01-01T09:00:00+09:00"
"Synchronize Language Settings","\Microsoft\Windows\International\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskLogonTrigger:"
"La57Cleanup","\Microsoft\Windows\Kernel\","Ready","%windir%\system32\la57setup.exe","","",":"
"Installation","\Microsoft\Windows\LanguageComponentsInstaller\","Ready","","","","MSFT_TaskLogonTrigger:"
"ReconcileLanguageResources","\Microsoft\Windows\LanguageComponentsInstaller\","Ready","","","","MSFT_TaskLogonTrigger:"
"Notifications","\Microsoft\Windows\Location\","Ready","%windir%\System32\LocationNotificationWindows.exe","","","MSFT_TaskTrigger:"
"WindowsActionDialog","\Microsoft\Windows\Location\","Ready","%windir%\System32\WindowsActionDialog.exe","","","MSFT_TaskTrigger:"
"WinSAT","\Microsoft\Windows\Maintenance\","Ready","","","",":"
"DetectHardwareChange","\Microsoft\Windows\Management\Autopilot\","Disabled","","","","MSFT_TaskTrigger:;MSFT_TaskTrigger:"
"RemediateHardwareChange","\Microsoft\Windows\Management\Autopilot\","Disabled","","","","MSFT_TaskBootTrigger:"
"Cellular","\Microsoft\Windows\Management\Provisioning\","Ready","%windir%\system32\ProvTool.exe","/turn 7 /source CellStateChangeTask","","MSFT_TaskTrigger:"
"Logon","\Microsoft\Windows\Management\Provisioning\","Ready","%windir%\system32\ProvTool.exe","/turn 5 /source LogonIdleTask","","MSFT_TaskLogonTrigger:"
"MdmDiagnosticsCleanup","\Microsoft\Windows\Management\Provisioning\","Disabled","%windir%\system32\MdmDiagnosticsTool.exe","/clean","","MSFT_TaskBootTrigger:"
"Retry","\Microsoft\Windows\Management\Provisioning\","Disabled","%windir%\system32\ProvTool.exe","/turn 5 /source ProvRetryTask","","MSFT_TaskBootTrigger:"
"RunOnReboot","\Microsoft\Windows\Management\Provisioning\","Disabled","%windir%\system32\ProvTool.exe","/turn 5 /source ContinueSessionTask","","MSFT_TaskBootTrigger:"
"MapsToastTask","\Microsoft\Windows\Maps\","Ready","","","",":"
"MapsUpdateTask","\Microsoft\Windows\Maps\","Disabled","","","","MSFT_TaskTimeTrigger:2014-10-21T00:00:00"
"AutomaticOfflineMemoryDiagnostic","\Microsoft\Windows\MemoryDiagnostic\","Ready","","","","MSFT_TaskLogonTrigger:"
"ProcessMemoryDiagnosticEvents","\Microsoft\Windows\MemoryDiagnostic\","Ready","","","","MSFT_TaskEventTrigger:;MSFT_TaskEventTrigger:;MSFT_TaskEventTrigger:;MSFT_TaskEventTrigger:"
"RunFullMemoryDiagnostic","\Microsoft\Windows\MemoryDiagnostic\","Disabled","","","",":"
"LPRemove","\Microsoft\Windows\MUI\","Ready","%windir%\system32\lpremove.exe","","",":"
"SystemSoundsService","\Microsoft\Windows\Multimedia\","Running","","","","MSFT_TaskLogonTrigger:"
"NcsiIdentifyUserProxies","\Microsoft\Windows\Network Connectivity Status Indicator\","Ready","","","","MSFT_TaskLogonTrigger:;MSFT_TaskSessionStateChangeTrigger:;MSFT_TaskSessionStateChangeTrigger:"
"WiFiTask","\Microsoft\Windows\NlaSvc\","Ready","%SystemRoot%\System32\WiFiTask.exe","nla","","MSFT_TaskTrigger:"
"PCR Prediction Framework Firmware Update Task","\Microsoft\Windows\PCRPF\","Ready","%windir%\system32\rundll32.exe","%windir%\system32\pcrpf.dll,NotifyFirmwareUpdateStaged","","MSFT_TaskTrigger:"
"RequestTrace","\Microsoft\Windows\PerformanceTrace\","Ready","","","","MSFT_TaskTrigger:"
"WhesvcToast","\Microsoft\Windows\PerformanceTrace\","Ready","","","","MSFT_TaskTrigger:"
"Device Install Group Policy","\Microsoft\Windows\Plug and Play\","Ready","","","","MSFT_TaskTrigger:"
"Device Install Reboot Required","\Microsoft\Windows\Plug and Play\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskLogonTrigger:"
"Sysprep Generalize Drivers","\Microsoft\Windows\Plug and Play\","Ready","%SystemRoot%\System32\drvinst.exe","6","",":"
"AnalyzeSystem","\Microsoft\Windows\Power Efficiency Diagnostics\","Ready","","","",":"
"EduPrintProv","\Microsoft\Windows\Printing\","Ready","%windir%\system32\eduprintprov.exe","","","MSFT_TaskTrigger:"
"PrinterCleanupTask","\Microsoft\Windows\Printing\","Ready","","","","MSFT_TaskDailyTrigger:2020-01-01T12:00:00"
"PrintJobCleanupTask","\Microsoft\Windows\Printing\","Disabled","","","","MSFT_TaskDailyTrigger:2021-01-01T12:00:00"
"VerifyWinRE","\Microsoft\Windows\RecoveryEnvironment\","Disabled","","","",":"
"Initialization","\Microsoft\Windows\ReFsDedupSvc\","Ready","","","","MSFT_TaskTrigger:"
"RegIdleBackup","\Microsoft\Windows\Registry\","Ready","","","",":"
"OOBEFodSetup","\Microsoft\Windows\Servicing\","Disabled","%windir%\system32\OOBEFodSetup.exe","","","MSFT_TaskTrigger:"
"StartComponentCleanup","\Microsoft\Windows\Servicing\","Ready","","","",":"
"PITRTask","\Microsoft\Windows\Setup\","Ready","","","","MSFT_TaskBootTrigger:"
"SetupRecoveryDataTask","\Microsoft\Windows\Setup\","Ready","","","","MSFT_TaskDailyTrigger:2025-10-29T20:27:46"
"Account Cleanup","\Microsoft\Windows\SharedPC\","Disabled","","","",":"
"CreateObjectTask","\Microsoft\Windows\Shell\","Ready","","","",":"
"FamilySafetyMonitor","\Microsoft\Windows\Shell\","Ready","%windir%\System32\wpcmon.exe","","",":"
"FamilySafetyRefreshTask","\Microsoft\Windows\Shell\","Ready","","","","MSFT_TaskTrigger:"
"IndexerAutomaticMaintenance","\Microsoft\Windows\Shell\","Ready","","","",":"
"ThemesSyncedImageDownload","\Microsoft\Windows\Shell\","Ready","","","",":"
"UpdateUserPictureTask","\Microsoft\Windows\Shell\","Ready","","","","MSFT_TaskTrigger:"
"UpdateUserPictureTaskContained","\Microsoft\Windows\Shell\","Ready","","","","MSFT_TaskTrigger:"
"SvcRestartTaskLogon","\Microsoft\Windows\SoftwareProtectionPlatform\","Disabled","","","","MSFT_TaskLogonTrigger:"
"SpaceAgentTask","\Microsoft\Windows\SpacePort\","Ready","%windir%\system32\SpaceAgent.exe","","","MSFT_TaskBootTrigger:;MSFT_TaskTrigger:"
"SpaceManagerTask","\Microsoft\Windows\SpacePort\","Ready","%windir%\system32\spaceman.exe","/Work","","MSFT_TaskBootTrigger:;MSFT_TaskTrigger:"
"MaintenanceTasks","\Microsoft\Windows\StateRepository\","Ready","%windir%\system32\rundll32.exe","%windir%\system32\Windows.StateRepositoryClient.dll,StateRepositoryDoMaintenanceTasks","",":"
"Storage Tiers Management Initialization","\Microsoft\Windows\Storage Tiers Management\","Ready","","","","MSFT_TaskTrigger:"
"Storage Tiers Optimization","\Microsoft\Windows\Storage Tiers Management\","Disabled","%windir%\system32\defrag.exe","-c -h -g -# -m 8 -i 13500","","MSFT_TaskTimeTrigger:2013-01-01T01:00:00"
"EnableLicenseAcquisition","\Microsoft\Windows\Subscription\","Ready","%SystemRoot%\system32\ClipRenew.exe","-e","","MSFT_TaskEventTrigger:;MSFT_TaskEventTrigger:;MSFT_TaskTrigger:"
"LicenseAcquisition","\Microsoft\Windows\Subscription\","Disabled","%SystemRoot%\system32\ClipRenew.exe","","","MSFT_TaskDailyTrigger:2016-01-01T09:00:00+09:00;MSFT_TaskRegistrationTrigger:;MSFT_TaskTrigger:"
"PowerGridForecastTask","\Microsoft\Windows\Sustainability\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskDailyTrigger:2024-01-01T12:00:00"
"SustainabilityTelemetry","\Microsoft\Windows\Sustainability\","Ready","","","",":"
"HybridDriveCachePrepopulate","\Microsoft\Windows\Sysmain\","Disabled","","","",":"
