file_path,file_name,file_size,page_scan_count,text_extract_ok,text_length,matched_keywords,matched_keyword_count,keyword_hit_positions,candidate_score,derived_ticker,derived_disclosure_date,derived_title,text_head_200,review_hint,review_priority,score_contributions
data/docs\140120260303574359.pdf,140120260303574359.pdf,235579,2,True,1898,自己株式,1,自己株式:1436,3,4750,2026-03-03,2026年４月期 第３四半期決算短信〔日本基準〕（連結）,2026年４月期 第３四半期決算短信〔日本基準〕（連結） 2026年３月３日 上場会社名 株式会社ダイサン 上場取引所 東 コード番号 4750 ＵＲＬ https://www.daisan-g.co.jp/ 代表者 （役職名）代表取締役社長 （氏名）藤田 武敏 問合せ先責任者 （役職名）管理本部 財務経理部 部長 （氏名）河野 良亮 ＴＥＬ06-6243-6341 配当支払開始予定日 － 決算補,候補,medium,自己株式:+1|derived_ticker:+1|derived_title:+1
data/docs\140120260304575305.pdf,140120260304575305.pdf,643286,2,True,3254,自己株式,1,自己株式:2222,3,2590,2026-03-04,2026年1月期 決算短信〔日本基準〕（連結）,2026年1月期 決算短信〔日本基準〕（連結） 2026年3月4日 上場会社名 ダイドーグループホールディングス株式会社 上場取引所 東 コード番号 2590 ＵＲＬ https://holdings.dydo.co.jp/ 代表者 （役職名）代表取締役社長 （氏名）高松 富也 問合せ先責任者 （役職名）取締役執行役員財務部長 （氏名）殿勝 直樹 ＴＥＬ 06-7166-0077 定時株主総会開催,候補,medium,自己株式:+1|derived_ticker:+1|derived_title:+1
data/docs\140120260304575655.pdf,140120260304575655.pdf,284746,2,True,2383,自己株式,1,自己株式:1841,3,8057,2026-03-04,2026年７月期 第２四半期（中間期）決算短信〔日本基準〕（連結）,2026年７月期 第２四半期（中間期）決算短信〔日本基準〕（連結） 2026年３月４日 上場会社名 株式会社 内田洋行 上場取引所 東 コード番号 8057 ＵＲＬ https://www.uchida.co.jp/ 代表者 （役職名）代表取締役社長 （氏名）大久保 昇 問合せ先責任者 （役職名）取締役常務執行役員財務グループ統括 （氏名）佐藤 将一郎 ＴＥＬ 03-3555-4066 半期報告書,候補,medium,自己株式:+1|derived_ticker:+1|derived_title:+1
data/docs\140120260304575984.pdf,140120260304575984.pdf,417450,2,True,1935,自己株式,1,自己株式:1421,2,,2026-03-06,2026年７月期 第２四半期（中間期）決算短信〔日本基準〕(連結),2026年７月期 第２四半期（中間期）決算短信〔日本基準〕(連結) 2026年３月６日 上 場 会 社 名 ゼネラルパッカー株式会社 上場取引所 東・名 コ ー ド 番 号 6267 URL https://www.general-packer.co.jp 代 表 者 (役職名) 代表取締役社長 (氏名) 牧野 研二 問合せ先責任者 (役職名) 取締役管理部長 (氏名) 杉田 篤紀 TEL 056,ticker未取得,low,自己株式:+1|derived_title:+1
data/docs\140120260304576008.pdf,140120260304576008.pdf,660302,2,True,2453,自己株式,1,自己株式:1660,2,,2026-03-05,2026年１月期 決算短信〔日本基準〕(連結),2026年１月期 決算短信〔日本基準〕(連結) 2026年３月５日 上 場 会 社 名 株式会社タカショー 上場取引所 東 コ ー ド 番 号 7590 URL https://takasho.co.jp/ 代 表 者 (役職名)代表取締役社長 (氏名)高岡 伸夫 常務執行役員経営管理本 問合せ先責任者 (役職名) (氏名)井上 淳 (TEL)073(482)4128 部副本部長 定時株主総会開催,ticker未取得,low,自己株式:+1|derived_title:+1
data/docs\140120260304576061.pdf,140120260304576061.pdf,603935,2,True,2833,自己株式,1,自己株式:1812,2,,2026-03-05,2026年1月期 決算短信〔日本基準〕(連結),2026年1月期 決算短信〔日本基準〕(連結) 2026年３月５日 上 場 会 社 名 積水ハウス株式会社 上場取引所 東・名 コ ー ド 番 号 1928 URL https://www.sekisuihouse.co.jp 代 表 者 (役職名) 代表取締役兼CEO 社長執行役員 (氏名) 仲井 嘉浩 問合せ先責任者 (役職名) 業務役員IR部長 (氏名) 川畑 弘幸 (TEL)06-6440,ticker未取得,low,自己株式:+1|derived_title:+1
data/docs\140120260305576166.pdf,140120260305576166.pdf,331475,2,True,2302,自己株式,1,自己株式:1743,3,6040,2026-03-06,2026年７月期 第２四半期決算短信,日本スキー場開発㈱ (6040) 2026年７月期 第２四半期決算短信 2026年７月期 第２四半期（中間期）決算短信〔日本基準〕（連結） 2026年３月６日 上場会社名 日本スキー場開発株式会社 上場取引所 東 コード番号 6040 ＵＲＬ https://www.nippon-ski.jp/ 代表者 （役職名）代表取締役社長 （氏名）鈴木 周平 問合せ先責任者 （役職名）管理本部長 （氏名）佐,候補,medium,自己株式:+1|derived_ticker:+1|derived_title:+1
data/docs\140120260305576562.pdf,140120260305576562.pdf,307847,2,True,2466,自己株式,1,自己株式:797,3,3854,2026-03-06,2026年７月期 第２四半期（中間期）決算短信〔日本基準〕（連結）,2026年７月期 第２四半期（中間期）決算短信〔日本基準〕（連結） 2026年３月６日 上場会社名 株式会社アイル 上場取引所 東 コード番号 3854 ＵＲＬ https://www.ill.co.jp 代表者 （役職名）代表取締役社長 （氏名）岩本 哲夫 問合せ先責任者 （役職名）経理部長 （氏名）小倉 直子 ＴＥＬ 06-6292-1170 半期報告書提出予定日 2026年３月13日 配当支,候補,medium,自己株式:+1|derived_ticker:+1|derived_title:+1
data/docs\140120260305576596.pdf,140120260305576596.pdf,267867,2,True,1844,自己株式,1,自己株式:1338,3,2301,2026-03-09,2026年10月期 第１四半期決算短信〔日本基準〕（非連結）,2026年10月期 第１四半期決算短信〔日本基準〕（非連結） 2026年３月９日 上場会社名 株式会社学情 上場取引所 東 コード番号 2301 ＵＲＬ https://company.gakujo.ne.jp 代表者 （役職名）代表取締役社長 （氏名）中井 大志 問合せ先責任者 （役職名）取締役 （氏名）乾 真一朗 ＴＥＬ 03-6775-4510 配当支払開始予定日 ― 決算補足説明資料作成の,候補,medium,自己株式:+1|derived_ticker:+1|derived_title:+1
data/docs\140120260305576670.pdf,140120260305576670.pdf,258786,2,True,2110,自己株式,1,自己株式:1584,3,7804,2026-03-09,2026年10月期 第１四半期決算短信〔日本基準〕（連結）,2026年10月期 第１四半期決算短信〔日本基準〕（連結） 2026年３月９日 上場会社名 株式会社ビーアンドピー 上場取引所 東 コード番号 7804 ＵＲＬ https://www.bandp.co.jp 代表者 （役職名）代表取締役社長執行役員 （氏名）和田山 朋弥 問合せ先責任者 （役職名）経営管理部部長 （氏名）近藤 恵太 ＴＥＬ 06-6448-1801 配当支払開始予定日 － 決算補,候補,medium,自己株式:+1|derived_ticker:+1|derived_title:+1
data/docs\140120260305576780.pdf,140120260305576780.pdf,638167,2,True,1940,自己株式,1,自己株式:1506,2,,2026-03-06,2026年４月期 第３四半期決算短信〔日本基準〕(連結),2026年４月期 第３四半期決算短信〔日本基準〕(連結) 2026年３月６日 上 場 会 社 名 株式会社アスカネット 上場取引所 東 コ ー ド 番 号 2438 URL https://www.asukanet.co.jp 代 表 者 (役職名) 代表取締役社長 (氏名) 村上 大吉朗 問合せ先責任者 (役職名) 常務取締役ＣＦＯ (氏名) 功野 顕也 (TEL)082-850-1200 配当,ticker未取得,low,自己株式:+1|derived_title:+1
data/docs\140120260305576840.pdf,140120260305576840.pdf,510170,2,True,1950,自己株式,1,自己株式:1500,2,,2026-03-06,2026年10月期 第１四半期決算短信〔日本基準〕(連結),2026年10月期 第１四半期決算短信〔日本基準〕(連結) 2026年３月６日 上 場 会 社 名 株式会社ソフトウェア・サービス 上場取引所 東 コ ー ド 番 号 3733 URL https://www.softs.co.jp 代 表 者 (役職名) 代表取締役会長 (氏名) 宮崎 勝 問合せ先責任者 (役職名) 経営管理部次長 (氏名) 正田 就康 TEL 06-6350-7222 配当支,ticker未取得,low,自己株式:+1|derived_title:+1
data/docs\140120260305576912.pdf,140120260305576912.pdf,274563,2,True,1862,自己株式,1,自己株式:1395,3,2910,2026-03-06,2026年４月期 第３四半期決算短信〔日本基準〕（連結）,2026年４月期 第３四半期決算短信〔日本基準〕（連結） 2026年３月６日 上場会社名 株式会社 ロック・フィールド 上場取引所 東 コード番号 2910 ＵＲＬ https://www.rockfield.co.jp 代表者 （役職名）代表取締役社長 （氏名）古塚 孝志 問合せ先責任者 （役職名）執行役員管理本部本部長 （氏名）新部 雅彦 ＴＥＬ 078-435-2800 配当支払開始予定日 ,候補,medium,自己株式:+1|derived_ticker:+1|derived_title:+1
data/docs\140120260305576938.pdf,140120260305576938.pdf,481646,2,True,1967,自己株式,1,自己株式:1518,2,,2026-03-06,2026年４月期 第３四半期決算短信〔日本基準〕(連結),2026年４月期 第３四半期決算短信〔日本基準〕(連結) 2026年３月６日 上 場 会 社 名 株式会社日本ハウスホールディングス 上場取引所 東 コ ー ド 番 号 1873 URL http://www.nihonhouse-hd.co.jp/ 代 表 者 (役職名) 代表取締役会長兼社長 (氏名) 成田 和幸 問合せ先責任者 (役職名) 取締役専務執行役員 (氏名) 高橋 康一 (TEL),ticker未取得,low,自己株式:+1|derived_title:+1
data/docs\140120260305577046.pdf,140120260305577046.pdf,216865,2,True,1964,自己株式,1,自己株式:1377,3,3816,2026-03-06,2026年７月期 第２四半期（中間期）決算短信〔日本基準〕（連結）,2026年７月期 第２四半期（中間期）決算短信〔日本基準〕（連結） 2026年３月６日 上場会社名 株式会社大和コンピューター 上場取引所 東 コード番号 3816 ＵＲＬ https://www.daiwa-computer.co.jp 代表者 （役職名）代表取締役社長 （氏名）中村 憲司 問合せ先責任者 （役職名）取締役企画管理本部長 （氏名）寺川 英信 ＴＥＬ 072-676-2221 半期,候補,medium,自己株式:+1|derived_ticker:+1|derived_title:+1
data/docs\140120260306577313.pdf,140120260306577313.pdf,252061,2,True,2000,自己株式の取得|上限,2,"自己株式の取得:1349, 上限:1335",6,9824,2026-03-06,2026年10月期 第１四半期決算短信〔日本基準〕（連結）,2026年10月期 第１四半期決算短信〔日本基準〕（連結） 2026年３月６日 上場会社名 泉州電業株式会社 上場取引所 東 コード番号 9824 ＵＲＬ https://www.senden.co.jp/ 代表者 （役職名）代表取締役社長 （氏名）西村 元秀 問合せ先責任者 （役職名）専務取締役兼執行役員管理本部長 （氏名）島岡 修子 ＴＥＬ 06－6384－1101 配当支払開始予定日 － 決,候補,high,自己株式の取得:+3|上限:+1|derived_ticker:+1|derived_title:+1
data/docs\140120260306577667.pdf,140120260306577667.pdf,286829,2,True,1937,自己株式,1,自己株式:1491,3,8917,2026-03-06,令和８年10月期 第１四半期決算短信〔日本基準〕（連結）,令和８年10月期 第１四半期決算短信〔日本基準〕（連結） 令和８年３月６日 上場会社名 ファースト住建株式会社 上場取引所 東 コード番号 8917 ＵＲＬ https://www.f-juken.co.jp/ 代表者 （役職名）代表取締役社長 （氏名）中島 雄司 問合せ先責任者 （役職名）取締役管理部長 （氏名）藤本 智章 ＴＥＬ 06-4868-5388 配当支払開始予定日 － 決算補足説明資,候補,medium,自己株式:+1|derived_ticker:+1|derived_title:+1
data/docs\140120260306577734.pdf,140120260306577734.pdf,257328,2,True,1965,自己株式,1,自己株式:1531,3,7856,2026-03-09,2026年10月期 第１四半期決算短信〔日本基準〕（連結）,2026年10月期 第１四半期決算短信〔日本基準〕（連結） 2026年３月９日 上場会社名 萩原工業株式会社 上場取引所 東 コード番号 7856 ＵＲＬ https://www.hagihara.co.jp/ 代表者 （役職名）代表取締役社長 （氏名）浅野 和志 問合せ先責任者 （役職名）取締役執行役員事業支援部門長（氏名）藤田 学 ＴＥＬ 086-440-0860 配当支払開始予定日 － 決算,候補,medium,自己株式:+1|derived_ticker:+1|derived_title:+1
data/docs\140120260309578131.pdf,140120260309578131.pdf,324152,2,True,2751,自己株式,1,自己株式:1807,3,4238,2026-03-09,2026年１月期 決算短信〔日本基準〕（連結）,2026年１月期 決算短信〔日本基準〕（連結） 2026年３月９日 上場会社名 ミライアル株式会社 上場取引所 東 コード番号 4238 ＵＲＬ https://www.miraial.co.jp 代表者 （役職名）代表取締役社長 （氏名）兵部 匡俊 問合せ先責任者 （役職名）経営企画部長 （氏名）羽山 哲生 ＴＥＬ 03（3986）3782 定時株主総会開催予定日 2026年４月23日 配当支払,候補,medium,自己株式:+1|derived_ticker:+1|derived_title:+1
